zip,population,land_sq_mile,density_sq_mile
00601,0,64.348,0
00602,0,30.613,0
00603,0,31.616,0
00606,0,42.309,0
00610,0,35.916,0
00612,0,67.605,0
00616,0,11.53,0
00617,0,15.192,0
00622,0,28.989,0
00623,0,37.976,0
00624,0,43.164,0
00627,0,46.355,0
00631,0,4.021,0
00637,0,34.45,0
00638,0,66.045,0
00641,0,93.531,0
00646,0,20.7,0
00647,0,15.205,0
00650,0,30.522,0
00652,0,6.917,0
00653,0,15.242,0
00656,0,32.415,0
00659,0,41.781,0
00660,0,11.336,0
00662,0,44.368,0
00664,0,45.521,0
00667,0,60.315,0
00669,0,61.552,0
00670,0,45.57,0
00674,0,44.943,0
00676,0,50.437,0
00677,0,14.339,0
00678,0,26.361,0
00680,0,64.207,0
00682,0,14.397,0
00683,0,52.196,0
00685,0,77.532,0
00687,0,38.871,0
00688,0,31.816,0
00690,0,2.815,0
00692,0,26.76,0
00693,0,39.319,0
00694,0,0.789,0
00698,0,69.618,0
00703,0,29.674,0
00704,0,4.876,0
00705,0,31.949,0
00707,0,21.066,0
00714,0,14.618,0
00715,0,7.869,0
00716,0,8.56,0
00717,0,2.102,0
00718,0,45.24,0
00719,0,28.003,0
00720,0,59.602,0
00723,0,46.16,0
00725,0,42.231,0
00727,0,21.489,0
00728,0,15.647,0
00729,0,33.961,0
00730,0,6.515,0
00731,0,47.621,0
00735,0,23.309,0
00736,0,55.097,0
00738,0,29.457,0
00739,0,31.58,0
00740,0,0.426,0
00741,0,2.363,0
00745,0,51.613,0
00751,0,46.968,0
00754,0,51.029,0
00757,0,29.833,0
00765,0,19.039,0
00766,0,40.039,0
00767,0,55.406,0
00769,0,76.514,0
00771,0,33.819,0
00772,0,14.663,0
00773,0,24.312,0
00775,0,10.561,0
00777,0,26.581,0
00778,0,29.644,0
00780,0,20.098,0
00782,0,26.644,0
00783,0,41.847,0
00784,0,55.551,0
00786,0,0.257,0
00791,0,36.959,0
00794,0,35.297,0
00795,0,46.257,0
00801,0,1.123,0
